OrderID,LegacyRef,CustomerName,CustomerCity,RegionName,ShipToCity,BillToCity,OrderDate,OrderChannel,Status,Priority,OrderTotal,OrderNotes,GiftMessage,SourceFile
ORD00063,LR-ORD00063,Cascade Retail,Cairo,Middle East,Chicago,Tokyo,2025-10-08 11:07:36,30,Delivered,Express,10290.89,"VIP account, expedite handling and notify the account manager once it ships.",,orders_export_2025.csv
ORD00064,LR-ORD00064,Zenith Distribution,Paris,Europe,Amsterdam,Mumbai,2025-02-13 11:45:05,40,Delivered,Express,764.16,"Partial backorder is possible, keep the customer updated on remaining stock.",,orders_export_2025.csv
ORD00066,LR-ORD00066,Summit Retail,Cairo,Middle East,Toronto,Cairo,2025-09-03 10:03:42,20,Shipped,Standard,3181.2,Customer requested delivery before noon; confirm the slot by phone the day before.,,orders_export_2025.csv
ORD00069,LR-ORD00069,Catalyst Industries,Singapore,Asia Pacific,Los Angeles,Madrid,2025-04-02 17:36:14,10,Delivered,Standard,13570.42,"VIP account, expedite handling and notify the account manager once it ships.",,orders_export_2025.csv
ORD00070,LR-ORD00070,Cascade Retail,Cairo,Middle East,Singapore,Singapore,2025-02-07 13:50:31,20,Delivered,Express,18911.31,"Partial backorder is possible, keep the customer updated on remaining stock.",,orders_export_2025.csv
ORD00072,LR-ORD00072,Zenith Logistics,Amsterdam,Europe,London,Dubai,2025-07-17 19:07:21,40,Delivered,Express,7741.6,Customer requested delivery before noon; confirm the slot by phone the day before.,,orders_export_2025.csv
ORD00073,LR-ORD00073,Orbit Holdings,Istanbul,Middle East,Sydney,Istanbul,2025-12-12 19:18:36,10,Delivered,Standard,9219.63,"Fragile items on this order, add extra padding and mark the box clearly.",,orders_export_2025.csv
ORD00075,LR-ORD00075,Momentum Holdings,Berlin,Europe,Berlin,Berlin,2025-09-12 07:16:24,30,Delivered,Express,4375.08,"VIP account, expedite handling and notify the account manager once it ships.",,orders_export_2025.csv
ORD00077,LR-ORD00077,Cascade Partners,Riyadh,Middle East,Istanbul,Sydney,2025-06-13 13:43:32,10,Processing,Express,10190.13,,,orders_export_2025.csv
ORD00078,LR-ORD00078,Evergreen Supply,Mumbai,Asia Pacific,Paris,Mexico City,2025-05-01 17:58:18,20,Delivered,Standard,261.45,Customer requested delivery before noon; confirm the slot by phone the day before.,,orders_export_2025.csv
