CustomerID,CustomerName,Segment,AddressID,AccountManager,PaymentTerms,hash_key,source_id
1017,Cascade Group,Mid-Market,17.0,Tom Reyes,Net 30,ffb8102d9475dbc996418cedd664d264,SAP-200016
1018,Zenith Logistics,SMB,18.0,Mei Chen,Net 60,8d4a75b8551ac8ea585a0afa7bfdcc12,SAP-200017
1019,Zenith Distribution,SMB,19.0,David Park,Net 15,9261549d3d225c30b28f41defb140bc3,SAP-200018
1020,Cascade Partners,Mid-Market,20.0,Omar Khan,Prepaid,e9d68f23b489d0707914f8a8bea4ff31,SAP-200019
1021,Momentum Holdings,Mid-Market,21.0,Sarah Lin,Net 30,2051acef097a1e10f6febc0e7ecddbaf,SAP-200020
1022,Meridian Retail,SMB,22.0,Tom Reyes,Net 60,1986b4b270b7e868d85480f0dfcaf0b7,SAP-200021
1023,Keystone Logistics,SMB,23.0,Mei Chen,Net 15,f84f16b3a79fbfafdef5768968f45bce,SAP-200022
1024,Vertex Logistics,Enterprise,24.0,David Park,Prepaid,65c17795b15516bc9f8ded9756abf2f1,SAP-200023
1025,Pinnacle Trading,SMB,25.0,Omar Khan,Net 30,a075e9275110b492f4427e0b61484bb3,SAP-200024
1026,Zenith Holdings,SMB,26.0,Sarah Lin,Net 60,ebc2026faf34cf65a193c4b23c19e71d,SAP-200025
1027,Nova Partners,Mid-Market,27.0,Tom Reyes,Net 15,a23d4c2fc2a796891933918cfa745761,SAP-200026
1028,Summit Partners,SMB,28.0,Mei Chen,Prepaid,530a37df0bc610660769165fe746ccb9,SAP-200027
1029,Vertex Supply,Enterprise,29.0,David Park,Net 30,697c392387fa841a3e83b91f25440fe0,SAP-200028
1030,Pinnacle Commerce,SMB,30.0,Omar Khan,Net 60,9ea556aa61ee6c5bdeef580f9c07a751,SAP-200029
1031,Apex Trading,SMB,31.0,Sarah Lin,Net 15,4104a8b5a34db7c5760debbb3b70b3a1,SAP-200030
1032,Atlas Group,Mid-Market,32.0,Tom Reyes,Prepaid,8beddb12ad77e82f49a23a89e6b5a92c,SAP-200031
1033,Meridian Supply,Enterprise,33.0,Mei Chen,Net 30,b0b862ef6c9f82b9f6478986a3917c99,SAP-200032
1034,Momentum Group,Mid-Market,34.0,David Park,Net 60,3cb983501b4da0fe7bb38605da743152,SAP-200033
1035,Evergreen Partners,Mid-Market,35.0,Omar Khan,Net 15,059dd55d4b943e30b303f438fe2110d0,SAP-200034
1036,Vanguard Logistics,SMB,36.0,Sarah Lin,Prepaid,7f2984f5bec39a379b3d74bde91e314e,SAP-200035
1037,Keystone Commerce,Mid-Market,37.0,Tom Reyes,Net 30,9ef2b93e30ac7d7ba2f963a33810ae66,SAP-200036
1038,Summit Retail,Mid-Market,38.0,Mei Chen,Net 60,088a93ec70d9c9f8c9e260744f1639a0,SAP-200037
1039,Zenith Group,SMB,39.0,David Park,Net 15,bf5ae7e653a3dd5a4b8c5bdce8dd5e5a,SAP-200038
1040,Beacon Group,Mid-Market,40.0,Omar Khan,Prepaid,87e5f0fe5da8d6d2f8b38a8be05fb8bc,SAP-200039
1041,Apex Holdings,SMB,41.0,Sarah Lin,Net 30,bf1e83664b8e63d4ce7607adf7a67b94,SAP-200040
1042,Fusion Group,Mid-Market,42.0,Tom Reyes,Net 60,dc322c9739c1e262f76c8edec1101266,SAP-200041
1043,Catalyst Partners,SMB,43.0,Mei Chen,Net 15,43b38eb403902c5d6502d6a2ca6a2224,SAP-200042
1044,Horizon Supply,SMB,44.0,David Park,Prepaid,a377f6f1d289f0ab618ae30595a5bafa,SAP-200043
1045,Evergreen Supply,Mid-Market,45.0,Omar Khan,Net 30,f1738856e25d36eb9e9a9f83066803ee,SAP-200044
1046,Meridian Partners,SMB,46.0,Sarah Lin,Net 60,e8cda0cc76da3ca0d2e82f38a2a9d4d8,SAP-200045
1047,Fusion Distribution,SMB,47.0,Tom Reyes,Net 15,0986bbebf23e323d0b9bd93423c86d30,SAP-200046
1048,Orbit Holdings,Mid-Market,48.0,Mei Chen,Prepaid,637e4b0122bae10e899ca782e3236d1a,SAP-200047
1049,Apex Group,Mid-Market,49.0,David Park,Net 30,ba0266efbe055787965befdf6b4be411,SAP-200048
1050,Evergreen Group,Enterprise,50.0,Omar Khan,Net 60,f396ea37f065c817687a48509d9b6231,SAP-200049
1051,Evergreen Distribution,Mid-Market,51.0,Sarah Lin,Net 15,3c71e0bef357956071d7966571818dcf,SAP-200050
1052,Quantum Distribution,Mid-Market,52.0,Tom Reyes,Prepaid,5bd20c98a5135ea0fa53e34de6d5901d,SAP-200051
1053,Summit Group,Enterprise,53.0,Mei Chen,Net 30,74685b98d2fe2fded918b3e5f2f25eef,SAP-200052
1054,Horizon Logistics,Enterprise,54.0,David Park,Net 60,3e5a87e35560db22c96b5edb0cf2b69b,SAP-200053
1055,Pioneer Partners,Enterprise,55.0,Omar Khan,Net 15,dea45c19d0243d723748967f961d33ba,SAP-200054
1056,Atlas Holdings,Enterprise,56.0,Sarah Lin,Prepaid,250a4578fbe94499dbc080fd46fb7bf3,SAP-200055
1057,Keystone Partners,Enterprise,57.0,Tom Reyes,Net 30,06998731ddcf8766a93b12cd1c24220e,SAP-200056
1058,Pioneer Holdings,Enterprise,58.0,Mei Chen,Net 60,2c9b662e040a3aae52e2afd996bf10ab,SAP-200057
1059,Quantum Supply,Mid-Market,59.0,David Park,Net 15,104556e5bee3eb791d181ee986ad8a8c,SAP-200058
1060,Cascade Retail,Mid-Market,60.0,Omar Khan,Prepaid,f206c26938b77c0780fb929673b6a09b,SAP-200059
9999,TEST ACCOUNT,SMB,,TEST,Prepaid,,
